Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name
221,Alaska Village Elec Coop Inc,57062,Gambell,PO Box 189,Gambell,AK,99742,Nome,63.777058,-171.712439,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,57052,Savoonga,PO Box 40,Savoonga,AK,99769,Nome,63.695267,-170.475661,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
26616,North Slope Borough Power & Light,7485,NSB Point Hope Utility,1737 Qalgi Ave,Pt Hope,AK,99766,North Slope,68.348424,-166.737211,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,North Slope Borough Power & Light,26616,AK,4.16,,,
19553,Unisea Inc,54422,Unisea G 2,Salmon Way,Dutch Harbor,AK,99692,Aleutians West,53.879600,-166.553200,ASCC,,,,311,NR,6,Industrial Non-CHP,,N,,N,,N,,N,X,,City of Unalaska - (AK),19454,AK,12.40,,,
20523,Westward Seafoods Inc,54305,Westward Seafoods,One Mile Captains Bay rd.,Dutch Harbor,AK,99692,Aleutians West,53.858508,-166.552880,ASCC,,,Captains Bay,311,NR,7,Industrial CHP,,N,,N,,N,,N,X,,City of Unalaska - (AK),19454,AK,4.16,,,
19454,City of Unalaska - (AK),7502,Dutch Harbor,1732 East Point Road,Dutch Harbor,AK,99692,Aleutians West,53.976100,-166.536100,ASCC,,,Sea Water Cooling,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of Unalaska - (AK),19454,AK,4.16,,,
19454,City of Unalaska - (AK),7503,Unalaska Power Module,1035 East Broadway,Unalaska,AK,99685,Aleutians West,53.864060,-166.512420,ASCC,,,Self Contained,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of Unalaska - (AK),19454,AK,4.16,,,
221,Alaska Village Elec Coop Inc,60260,Brevig Mission,36 Utility Drive,Brevig Mission,AK,99785,Nome,65.331716,-166.479506,,NA,No BA,,22,RE,1,Electric Utility,,N,,N,,N,,,,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
221,Alaska Village Elec Coop Inc,6319,Hooper Bay,08 Utility Drive,Hooper Bay,AK,99604,Bethel,61.530858,-166.101944,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
221,Alaska Village Elec Coop Inc,6345,Shishmaref,27 Utility Drive,Shishmaref,AK,99772,Nome,66.255072,-166.073589,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
221,Alaska Village Elec Coop Inc,57056,Scammon Bay,PO Box 90,Scammon Bay,AK,99662,Wade Hampton,61.843036,-165.581497,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,6311,Chevak,14 Utility Drive,Chevak,AK,99563,Bethel,61.479444,-165.499444,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
13642,Nome Joint Utility Systems,90,Snake River,1226 Port Road,Nome,AK,99762,Nome,64.505331,-165.429814,ASCC,,,Municipality,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Nome Joint Utility Systems,13642,AK,4.00,,,
221,Alaska Village Elec Coop Inc,57067,Toksook Bay,Nelson Island PO Box 37008,Toksook Bay,AK,99637,Bethel,60.530142,-165.108575,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,57053,Alakanuk,PO Box 167,Alakanuk,AK,99554,WADE HAMPTON,62.683300,-164.654400,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,57065,Kivalina,PO Box 50079,Kivalina,AK,99750,Northwest Arctic,67.726644,-164.538447,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,6314,Emmonak,07 Utility Drive,Emmonak,AK,99581,Bethel,62.777694,-164.531517,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
221,Alaska Village Elec Coop Inc,6329,Mountain Village,68 Utility Drive,Moutain Village,AK,99632,Bethel,62.085569,-163.729072,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
221,Alaska Village Elec Coop Inc,57064,Kotlik,PO Box 20268,Kotlik,AK,99620,Wade Hampton,63.032150,-163.553106,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,6338,St Marys IC,26 Utility Drive,St Marys,AK,99658,Bethel,62.051525,-163.172567,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
26616,North Slope Borough Power & Light,7486,NSB Point Lay Utility,109 Tuttunniaqvik Street,PT Lay,AK,99759,North Slope,69.740833,-163.005833,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,North Slope Borough Power & Light,26616,AK,4.16,,,
221,Alaska Village Elec Coop Inc,57051,Noatak,PO Box 89,Noatak,AK,99761,Northwest Arctic,67.570931,-162.965728,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,57058,Pilot Station,PO Box 5040,Pilot Station,AK,99650,Wade Hampton,61.936456,-162.880706,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,245 4th Street,Kotzebue,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,ASCC,,,,22,RE,1,Electric Utility,N,N,,N,,N,,N,X,,Kotzebue Electric Assn Inc,10451,AK,7.20,,,
221,Alaska Village Elec Coop Inc,57066,Kasigluk,PO Box 19 Akula Heights,Kasigluk,AK,99609,Bethel,60.873100,-162.519700,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,6333,Nunapitchuk,09 Utility Drive,Nunapitchuk,AK,99641,Bethel,60.875278,-162.453333,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
9897,City of King Cove,7493,King Cove,10000 Windy Walkway,King Cove,AK,99612,Aleutians East,55.061683,-162.310300,ASCC,,,Delta Creek,22,RE,1,Electric Utility,,N,,N,,N,,,X,,City of King Cove,9897,AK,480.00,,,
221,Alaska Village Elec Coop Inc,57055,Stebbins,PO Box 22,Stebbins,AK,99671,Nome,63.521047,-162.286322,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,57060,Elim,PO Box 39009,Elim,AK,99739,Nome,64.616558,-162.263717,ASCC,,,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Alaska Village Elec Coop Inc,221,AK,13.47,,,
221,Alaska Village Elec Coop Inc,60244,Marshall,50 Utility Drive,Marshall,AK,99585,Wade Hampton,61.878186,-162.085147,,,,,22,RE,1,Electric Utility,,N,,N,,N,,,,,Alaska Village Elec Coop Inc,221,AK,12.50,,,
