Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
195,2,1,Conventional Hydroelectric,HY,S,X,X,53.90,0.92,56.00,52.00,52.00,N,OP,X,,,N,X,WAT,,,,,,,,,,1H
195,3,1,Natural Gas Steam Turbine,ST,S,X,X,153.10,0.85,55.00,55.00,55.00,N,OP,X,12,2019,N,X,NG,,,,,,NG,,,,OVER
195,3,2,Natural Gas Steam Turbine,ST,S,X,X,153.10,0.85,55.00,55.00,55.00,N,OP,X,12,2019,N,X,NG,,,,,,NG,,,,OVER
195,3,4,Conventional Steam Coal,ST,S,X,X,403.70,0.85,362.00,362.00,200.00,N,OP,X,,,N,X,BIT,,,,,,NG,,,,OVER
195,3,5,Conventional Steam Coal,ST,S,X,X,788.80,0.85,726.50,726.50,465.00,N,OP,X,,,N,X,BIT,,,,,,NG,,,,OVER
195,3,A1CT,Natural Gas Fired Combined Cycle,CT,S,X,N,170.10,0.85,154.00,170.00,104.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,3,A1CT2,Natural Gas Fired Combined Cycle,CT,S,X,N,170.10,0.85,154.00,170.00,104.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,3,A1ST,Natural Gas Fired Combined Cycle,CA,S,Y,X,195.20,0.85,173.00,192.00,141.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,3,A2C1,Natural Gas Fired Combined Cycle,CT,S,X,N,170.10,0.85,154.00,170.00,79.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,3,A2C2,Natural Gas Fired Combined Cycle,CT,S,X,N,170.10,0.85,154.00,170.00,87.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,3,A2ST,Natural Gas Fired Combined Cycle,CA,S,Y,X,195.20,0.85,173.00,192.00,131.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
195,4,1,Conventional Hydroelectric,HY,S,X,X,75.00,0.86,75.30,76.00,75.00,N,OP,X,,,N,X,WAT,,,,,,,,,,1H
195,4,2,Conventional Hydroelectric,HY,S,X,X,75.00,0.86,75.30,76.00,75.00,N,OP,X,,,N,X,WAT,,,,,,,,,,1H
195,4,3,Conventional Hydroelectric,HY,S,X,X,75.00,0.86,75.30,76.00,75.00,N,OP,X,,,N,X,WAT,,,,,,,,,,1H
